Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,BES Islands,BES,0,0,0,0,0,0,0,113.7,116.3,120,126.7,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Nauru,NRU,29,33,20.1,19.5,21.3,22.6,23.1,23.7,24.3,25.1,25.1,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Niue,NIU,2.6,3,3,3,2.877,3.14794444444444,3.26961111111111,3.32944444444444,3.35166666666667,3.22666666666667,3.39083333333333,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Wallis and Futuna,WLF,0,0,20.261,20.321,20.091,19.816,19.752,18.983,18.837,18.556,18.34,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Caucasian and Central Asia,CCA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Caucasus and Central Asia,GCA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Eastern Asia (including Japan),GEJ,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Eastern Asia (not including Japan),GEA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Eastern Europe,GEE,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Europe,GEU,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,High income: nonOECD,NOC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,High income: OECD,OEC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Latin America and Caribbean,GLC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Northern America,GNA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Not classified,LNX,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Nothern America,NAR,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Oceania,GCN,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Oceania (not including Australia and New Zealand),GOC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,South Eastern Asia,GSE,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Southern Asia,GSA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Sub-Saharan Africa,GSS,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Western Asia,GWA,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,World,GWL,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Afghanistan,AFG,1128,687.7,950,788,889,892,1005,1022,1022.3,1049.3,1033.7,..
Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,Albania,ALB,3296,4778,2860,3797,5202,7568,4191,4725,6959,4724,5895,..
