iso_a3;iso_n3;primary;name_0;indicator_name;weight;score;score_ranked;cat;label;sum_weights;sum_weighted_indicator;count_valid;fraction_valid;valid_hybas6;un_region;wb_region;population_2019_million
QAT;634;1;Qatar;bws;Tot;4.97;1;4;Extremely High (>80%);165.6547331;823.906203;16024;0.998751872;1;Asia;Middle East & North Africa;2.743901
AFG;4;1;Afghanistan;bws;Dom;3.061209088;43;3;High (40-80%);326.7322166;1000.195631;919639;1;1;Asia;South Asia;37.209007
AFG;4;1;Afghanistan;bws;Ind;2.43713022;56;2;Medium - High (20-40%);92.60015858;225.6786449;919639;1;1;Asia;South Asia;37.209007
AFG;4;1;Afghanistan;bws;Irr;3.816370069;26;3;High (40-80%);28871.10175;110182.8086;919639;1;1;Asia;South Asia;37.209007
AFG;4;1;Afghanistan;bws;Liv;2.911271763;42;2;Medium - High (20-40%);10.08273554;29.35358328;919639;1;1;Asia;South Asia;37.209007
AGO;24;1;Angola;bws;One;1.616445297;74;1;Low - Medium (10-20%);1494969.573;2416536.535;1509282;0.999980786;1;Africa;Sub-Saharan Africa;31.787566
ISR;376;1;Israel;bws;Tot;4.82;2;4;Extremely High (>80%);2411.42388;11623.47413;31451;0.999841023;1;Asia;Middle East & North Africa;8.583916
AGO;24;1;Angola;bws;Dom;1.354473257;88;1;Low - Medium (10-20%);71.47246194;96.80753831;1509282;0.999723047;1;Africa;Sub-Saharan Africa;31.787566
AGO;24;1;Angola;bws;Ind;1.491792099;82;1;Low - Medium (10-20%);28.35337258;42.2973372;1509282;0.999723047;1;Africa;Sub-Saharan Africa;31.787566
AGO;24;1;Angola;bws;Irr;1.687973097;78;1;Low - Medium (10-20%);1154.009318;1947.936683;1509282;0.999723047;1;Africa;Sub-Saharan Africa;31.787566
AGO;24;1;Angola;bws;Liv;2.321993948;56;2;Medium - High (20-40%);1.562934494;3.629124436;1509282;0.999723047;1;Africa;Sub-Saharan Africa;31.787566
ALB;8;1;Albania;bws;One;3.088583876;41;3;High (40-80%);44379.31373;137069.2328;46918;0.999914745;1;Europe;Europe & Central Asia;2.938428
LBN;422;1;Lebanon;bws;Tot;4.82;3;4;Extremely High (>80%);1432.309127;6898.992501;15543;1;1;Asia;Middle East & North Africa;6.065922
ALB;8;1;Albania;bws;Dom;3.459335951;30;3;High (40-80%);295.2796269;1021.471429;46918;0.999914745;1;Europe;Europe & Central Asia;2.938428
ALB;8;1;Albania;bws;Ind;3.275437768;37;3;High (40-80%);248.1060241;812.6558419;46918;0.999914745;1;Europe;Europe & Central Asia;2.938428
ALB;8;1;Albania;bws;Irr;3.582541303;31;3;High (40-80%);2610.599495;9352.580518;46918;0.999914745;1;Europe;Europe & Central Asia;2.938428
ALB;8;1;Albania;bws;Liv;3.07695125;35;3;High (40-80%);0.298551544;0.918628547;46918;0.999914745;1;Europe;Europe & Central Asia;2.938428
AND;20;1;Andorra;bws;One;3.909615215;22;3;High (40-80%);713.172549;2788.230249;899;1;1;Europe;Europe & Central Asia;0.077072
IRN;364;1;Iran;bws;Tot;4.57;4;4;Extremely High (>80%);89307.37804;407871.8333;2272019;0.999670337;1;Asia;Middle East & North Africa;82.820766
AND;20;1;Andorra;bws;Dom;3.949351918;16;3;High (40-80%);6.809490514;26.89307442;899;1;1;Europe;Europe & Central Asia;0.077072
AND;20;1;Andorra;bws;Ind;3.914538196;19;3;High (40-80%);47.37671632;185.4579656;899;1;1;Europe;Europe & Central Asia;0.077072
AND;20;1;Andorra;bws;Irr;3.957922486;21;3;High (40-80%);1.09117653;4.318792123;899;1;1;Europe;Europe & Central Asia;0.077072
